Edit Product,Edit Product
Add Product,Add Product
Assign Products,Assign Products
The product has been deleted successfully.,The product has been deleted successfully.
Contact Admin,Contact Admin
Orders,Orders
Order #,Order #
Manage Products,Manage Products
All Sellers,All Sellers
Become a Seller,Become a Seller
Seller Dashboard,Seller Dashboard
Seller Login,Seller Login
Our Sellers,Our Sellers
My Store,My Store
Create New Seller Account,Create New Seller Account
Seller Review,Seller Review
Subscription Plans,Subscription Plans
Transactions,Transactions
Sell On ,Sell On
Seller can't add their own product,Seller can't add their own product
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
The account is locked. Please wait and try again or contact %1.,The account is locked. Please wait and try again or contact %1.
An unspecified error occurred. Please contact us for assistance.,An unspecified error occurred. Please contact us for assistance.
A login and a password are required.,A login and a password are required.
Seller Payments,Seller Payments
All Payments,All Payments
All Payments for ,All Payments for
Customer could not be deleted.,Customer could not be deleted.
You deleted the customer.,You deleted the customer.
Seller Products were disabled and disapproved,Seller Products were disabled and disapproved
Please correct the data sent.,Please correct the data sent.
A total of %1 record(s) were updated.,A total of %1 record(s) were updated.
A total of %1 record(s) were deleted.,A total of %1 record(s) were deleted.
Seller Products were disabled and disapproved,Seller Products were disabled and disapproved
This Subscription Plan no longer exists.,This Subscription Plan no longer exists.
Pay,Pay
Manage Seller Payments,Manage Seller Payments
Kindly check your pay amount.,Kindly check your pay amount.
The payment has been updated successfully.,The payment has been updated successfully.
This Review no longer exists.,This Review no longer exists.
Edit Seller Review,Edit Seller Review
Manage Seller Review,Manage Seller Review
Manage Webkul Grid View,Manage Webkul Grid View
A total of %1 record(s) were approved.,A total of %1 record(s) were approved.
A total of %1 record(s) were disapproved.,A total of %1 record(s) were disapproved.
This Seller no longer exists.,This Seller no longer exists.
Manage Commission,Manage Commission
Manage Sellers,Manage Sellers
Add Seller,Add Seller
Manage Seller,Manage Seller
Please Enable The Seller Products,Please Enable The Seller Products
Seller Products also Disabled,Seller Products also Disabled
Data has been saved.,Data has been saved.
The data has been deleted successfully.,The data has been deleted successfully.
Edit Subscription Plans,Edit Subscription Plans
Manage Subscription,Manage Subscription
Manage Subscription Plans,Manage Subscription Plans
A total of %1 record(s) were disabled.,A total of %1 record(s) were disabled.
A total of %1 record(s) were enabled.,A total of %1 record(s) were enabled.
Data has been saved.,Data has been saved.
Subscription Profiles,Subscription Profiles
Subscribed Profiles,Subscribed Profiles
Manage Seller Orders,Manage Seller Orders
You added %1 to your shopping cart.,You added %1 to your shopping cart.
We don\'t have as many ,We don\'t have as many
 as you requested, as you requested
We can\'t add this item to your shopping cart right now.,We can\'t add this item to your shopping cart right now.
You have reached your product limit. If you want to add more product(s) kindly upgrade your subscription plan.,You have reached your product limit. If you want to add more product(s) kindly upgrade your subscription plan.
You have not subscribed any plan yet. Kindly subscribe for adding product(s).,You have not subscribed any plan yet. Kindly subscribe for adding product(s).
You must have a seller account to access,You must have a seller account to access
You saved the product.,You saved the product.
You must have a seller store to assign products,You must have a seller store to assign products
Thanks for contacting us with your comments and questions. We\'ll respond to you very soon,Thanks for contacting us with your comments and questions. We\'ll respond to you very soon
request has been sent to seller successfully,request has been sent to seller successfully
You dont have permission to proceed this operation,You dont have permission to proceed this operation
The item has been canceled successfully,The item has been canceled successfully
The item has been returned successfully,The item has been returned successfully
You dont have permission to proceed this operation.,You dont have permission to proceed this operation.
The refund request sent successfully.,The refund request sent successfully.
The invoice has been created successfully.,The invoice has been created successfully.
The shipment has been created successfully.,The shipment has been created successfully.
You dont have permission to proceed this action,You dont have permission to proceed this action
The invoice has been created for ,The invoice has been created for
 by , by
The shipment has been created for ,The shipment has been created for
Shipment,Shipment
Custom Attribute(s),Custom Attribute(s)
You dont have permission to access this page.,You dont have permission to access this page.
You must have a seller account to access.,You must have a seller account to access.
"Kindly complete your profile details, before add New Product.","Kindly complete your profile details, before add New Product."
You have reached your product limit. If you want to add more product(s) kindly upgrade your subscription plan.,You have reached your product limit. If you want to add more product(s) kindly upgrade your subscription plan.
You have not subscribed any plan yet. Kindly subscribe for adding product(s).,You have not subscribed any plan yet. Kindly subscribe for adding product(s).
Name Missing,Name Missing
You have not subscribed any plan yet. Kindly subscribe for adding product(s).,You have not subscribed any plan yet. Kindly subscribe for adding product(s).
You have reached your product limit. If you want to add more product(s) kindly upgrade your subscription plan.,You have reached your product limit. If you want to add more product(s) kindly upgrade your subscription plan.
Products were saved successfully,Products were saved successfully
Sku(s) already exists,Sku(s) already exists
Error.,Error.
The product has been deleted successfully.,The product has been deleted successfully.
You dont have access to delete this product.,You dont have access to delete this product.
You must have a seller account to access,You must have a seller account to access
Sku already exists,Sku already exists
You updated the product.,You updated the product.
You saved the product.,You saved the product.
Your Product is waiting for admin approval.,Your Product is waiting for admin approval.
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
We can\'t save the customer.,We can\'t save the customer.
Please make sure your passwords match.,Please make sure your passwords match.
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
Thank you for registering with %1.,Thank you for registering with %1.
You must have a seller account to access,You must have a seller account to access
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
Invalid login or password.,Invalid login or password.
A login and a password are required.,A login and a password are required.
Product(s) count exceed ,Product(s) count exceed
. Kindly delete exceed product before degrade subscription plan,. Kindly delete exceed product before degrade subscription plan
Kindly select of the subscription plan.,Kindly select of the subscription plan.
Minimum Upload image size for Logo is 150 X 110,Minimum Upload image size for Logo is 150 X 110
Minimum Upload image size for Banner is 1100 X 230,Minimum Upload image size for Banner is 1100 X 230
Store details has been updated Successfully,Store details has been updated Successfully
Your review has been added successfully,Your review has been added successfully
Your review is awaiting for moderation,Your review is awaiting for moderation
Can't able to contact the own seller,Can't able to contact the own seller
Thanks for contacting us with your comments and questions. We\'ll respond to you very soon,Thanks for contacting us with your comments and questions. We\'ll respond to you very soon
Some error occured while processing your request.,Some error occured while processing your request.
You have subscribed successfully. It will be activated shortly.,You have subscribed successfully. It will be activated shortly.
Some error occured while processing your request.,Some error occured while processing your request.
The payment has been updated successfully.,The payment has been updated successfully.
Seller Can't add review for their own product.,Seller Can't add review for their own product.
You submitted your review for moderation.,You submitted your review for moderation.
We can\'t post your review right now.,We can\'t post your review right now.
Admin Approval is required. Please wait until admin confirms your Seller Account,Admin Approval is required. Please wait until admin confirms your Seller Account
Pending,Pending
Active,Active
Complete,Complete
Product,Product
Store,Store
Enabled,Enabled
Disabled,Disabled
Approved,Approved
Disapproved,Disapproved
Incorrect CAPTCHA.,Incorrect CAPTCHA.
Become a Seller,Become a Seller
MARKETPLACE,MARKETPLACE
Marketplace,Marketplace
Seller Dashboard,Seller Dashboard
Assign Product,Assign Product
My Store,My Store
Order Management,Order Management
Transactions,Transactions
Reviews,Reviews
Contact Admin,Contact Admin
Subscription Plans,Subscription Plans
